"txid","pair","time","type","ordertype","price","cost","fee","vol"
"T2V7R4-FQS4Y-PAOMWB","XXBTZEUR","2019-07-10 01:28:31.8263","sell","limit",11500.00000,115.00000,0.18400,0.01000000
"TZM3ZP-F6DYL-WMUYS2","ATOMEUR","2019-07-12 21:15:37.0832","buy","limit",3.950000,50.000000,0.080000,12.65822784
"TNFL5M-KTLLC-7ZIM35","XXBTZEUR","2019-07-14 10:44:31.5031","buy","limit",9500.00000,79.99998,0.12800,0.00842105
"TRIGOF-6ZAYG-3VPKS5","EOSEUR","2019-07-16 16:12:57.1784","buy","limit",3.600000,70.000000,0.112000,19.44444444
"T2IAVB-W4RPK-IF6J5R","ADAEUR","2019-07-23 08:58:26.5783","buy","limit",0.050000,51.000000,0.081600,1020.00000000
"TDVS4H-C4LND-R6USDS","XTZEUR","2019-08-01 20:41:19.7968","sell","limit",1.300000,65.000000,0.104000,50.00000000
"TRYUNQ-OXBIB-NZ4EJR","XTZEUR","2019-08-15 03:53:35.0731","buy","limit",1.000000,50.000000,0.080000,50.00000000
"TQP5JN-VL4LY-5UCO7N","BCHEUR","2019-08-15 06:19:53.8257","buy","limit",250.000000,50.000000,0.080000,0.20000000
"TCKOPB-YK2MD-TZGBWC","ATOMEUR","2019-08-22 14:41:03.7898","buy","limit",2.390000,54.970000,0.087952,23.00000000
"T5HKUO-Z24CF-AC6667","XLTCZEUR","2019-09-06 17:40:32.7483","buy","limit",60.00000,60.00000,0.09600,1.00000000
"TNTL4M-OPEBB-EDUGYZ","XXBTZEUR","2019-09-29 12:38:26.8014","buy","limit",7250.00000,49.99999,0.08000,0.00689655
"TVH6TV-OTYP6-OHCKZO","XTZEUR","2019-09-29 15:20:37.1832","buy","limit",0.800000,50.000000,0.080000,62.50000000
"TSUIFL-RSPIL-SQHW6A","LINKEUR","2019-11-03 04:54:12.3554","buy","limit",2.400000,50.000000,0.080000,20.83333333
"TPWRKG-ZFSSQ-INQ6L5","XTZEUR","2019-11-07 21:28:28.6238","sell","limit",1.120000,76.160000,0.121856,68.00000000
"TXLOGK-ZXFAV-DS3AAL","XXRPZEUR","2019-11-08 13:25:19.2846","buy","limit",0.25000000,50.00000000,0.08000000,200.00000000
"TT5TQD-4VQX2-TKUJDX","XXBTZEUR","2019-11-11 04:31:44.2988","buy","limit",8000.00000,50.00000,0.08000,0.00625000
"TTGJIM-RS3E6-AYH3XD","XXBTZEUR","2019-11-22 10:04:10.9317","buy","limit",6500.00000,49.99995,0.08000,0.00769230
"TKDHBM-YJMVH-52CBKM","XTZEUR","2019-12-12 15:34:28.371","sell","limit",1.500000,75.000000,0.120000,50.00000000
"TJUBX3-KKHIK-MKG2B3","LINKEUR","2019-12-14 16:01:43.4668","buy","limit",1.800000,50.000000,0.080000,27.77777777
"TTW6II-C2NP5-LIN6DS","ATOMEUR","2019-12-27 03:27:32.6763","sell","limit",4.250000,68.258370,0.109213,16.06079300
"TOVSQG-I4ZHS-XERXKS","ATOMEUR","2019-12-27 03:27:41.4872","sell","limit",4.250000,37.991630,0.060787,8.93920700
"TNQKU5-YJFNZ-CEC2MD","XTZEUR","2019-12-29 14:47:49.4906","buy","limit",1.150000,51.750000,0.082800,45.00000000
"TZRQAL-O53F7-FGBRT3","EOSEUR","2020-01-02 16:46:03.2258","buy","limit",2.250000,54.000000,0.086400,24.00000000
"TA6PEL-PISB2-4CZSRR","LINKEUR","2020-01-17 09:02:57.6154","sell","limit",2.500000,60.000000,0.096000,24.00000000
"TD24E2-46Y2J-OBZ7NN","ALGOEUR","2020-02-05 05:00:10.9102","buy","limit",0.250000,50.000000,0.080000,200.00000000
"T3YKTQ-RQHCG-PT6H4C","XTZEUR","2020-02-09 16:29:42.1689","sell","limit",2.450000,98.000000,0.156800,40.00000000
"T3JRH7-Y5C6B-2PZQIE","EOSEUR","2020-02-12 07:28:12.4142","sell","limit",5.000000,150.000000,0.240000,30.00000000
"T37HEV-7AGFT-AA7ODV","XDGEUR","2020-02-16 13:32:57.7611","buy","limit",0.002600000,26.000000000,0.041600000,10000.00000000
"TYKZTN-324TT-K5RFQT","XXBTZEUR","2020-02-18 09:08:14.9479","buy","limit",9000.00000,49.99995,0.08000,0.00555555
"TWK4ER-7CXY7-22JZJW","EOSEUR","2020-02-19 21:51:16.1198","buy","limit",3.500000,49.000000,0.078400,14.00000000
"TDTLRM-3R5AP-JBI4RG","XTZEUR","2020-02-24 06:55:28.761","buy","limit",3.000000,50.000000,0.080000,16.66666666
"TXZCNE-2UIEX-3UFRVJ","ALGOEUR","2020-02-24 19:24:18.5126","sell","limit",0.450000,45.000000,0.072000,100.00000000
"TDYNVZ-CLCZH-DLNJDB","ALGOEUR","2020-02-25 20:44:34.8043","buy","limit",0.350000,50.000000,0.080000,142.85714285
"TBX4IW-TZ5MG-7HEBDL","ATOMEUR","2020-02-26 02:13:52.5864","buy","limit",3.500000,52.500000,0.084000,15.00000000
"TLGISE-UQ33Y-QPU6N6","BATEUR","2020-03-07 18:03:00.749","buy","limit",0.200000,50.000000,0.080000,250.00000000
"TBUXE5-DIXZY-WNFNY2","TRXEUR","2020-03-08 00:30:56.0466","buy","limit",0.0150000,21.7416089,0.0347866,1449.44059122
"TX6YLQ-GGFL2-XFX6VC","TRXEUR","2020-03-08 00:30:59.6103","buy","limit",0.0150000,28.2533911,0.0452054,1883.55940878
"TYEGZ4-XV4IL-43BNVP","LINKEUR","2020-03-12 20:02:26.1744","buy","limit",2.300000,59.800000,0.095680,26.00000000
"TVL7EO-SG73Z-QFGRZA","XTZEUR","2020-03-12 20:21:56.6963","buy","limit",1.500000,39.438990,0.063102,26.29266015
"TITQLN-J7PBV-X6VDUN","XTZEUR","2020-03-12 20:21:56.7051","buy","limit",1.500000,20.561010,0.032898,13.70733985
"TWEABS-OC6OV-U7CLFY","XXBTZEUR","2020-03-14 01:06:55.1817","buy","limit",4900.00000,38.56280,0.06170,0.00786996
"TCPBTM-US2KT-FFEZRR","XXBTZEUR","2020-03-14 01:06:55.1879","buy","limit",4900.00000,17.43719,0.02790,0.00355861
